ID,BackToBack,Home,Team1OffenseRanking,Team1DefenseRanking,Team2OffenseRanking,Team2DefenseRanking,Team1LastNRecord,Team2LastNRecord,ConsensusSpread,ConsensusTotal,AgainstTheSpread,AgainstTheTotal
03-26-2014 => ATL @ MIN,-10.00,-10.00,5.17,5.32,7.95,2.27,0.50,0.40,3.43,8.86,0.01,0.01
03-26-2014 => MIN vs ATL,-10.00,10.00,7.95,2.27,5.17,5.32,0.40,0.50,6.57,8.86,10.00,0.01
03-26-2014 => LAC @ NOP,-10.00,-10.00,8.92,6.68,8.83,3.99,0.90,0.70,7.14,8.51,0.01,0.72
03-26-2014 => NOP vs LAC,-10.00,10.00,8.83,3.99,8.92,6.68,0.70,0.90,2.86,8.51,10.00,0.72
03-26-2014 => MIA @ IND,-10.00,-10.00,3.22,6.80,0.01,8.15,0.50,0.50,4.57,7.68,5.36,0.01
03-26-2014 => IND vs MIA,-10.00,10.00,0.01,8.15,3.22,6.80,0.50,0.50,5.43,7.68,4.64,0.01
03-26-2014 => DEN @ SAS,-10.00,-10.00,7.41,3.57,10.00,7.76,0.50,1.00,1.15,8.92,10.00,3.22
03-26-2014 => SAS vs DEN,-10.00,10.00,10.00,7.76,7.41,3.57,1.00,0.50,8.85,8.92,0.01,3.22
03-26-2014 => NYK @ SAC,10.00,-10.00,7.66,6.31,4.59,5.53,0.80,0.40,5.71,8.26,8.92,7.14
03-26-2014 => SAC vs NYK,-10.00,10.00,4.59,5.53,7.66,6.31,0.40,0.80,4.29,8.26,1.08,7.14
03-26-2014 => MEM @ UTA,-10.00,-10.00,2.25,10.00,1.52,4.23,0.80,0.20,7.43,7.54,1.79,3.39
03-26-2014 => UTA vs MEM,-10.00,10.00,1.52,4.23,2.25,10.00,0.20,0.80,2.57,7.54,8.21,3.39
03-27-2014 => POR @ ATL,-10.00,-10.00,5.98,3.86,4.61,5.61,0.30,0.50,6.43,8.53,10.00,0.01
03-27-2014 => ATL vs POR,10.00,10.00,4.61,5.61,5.98,3.86,0.50,0.30,3.57,8.53,0.01,0.01
03-27-2014 => PHI @ HOU,-10.00,-10.00,0.49,4.86,8.92,5.92,0.00,0.70,0.01,8.84,3.22,6.43
03-27-2014 => HOU vs PHI,-10.00,10.00,8.92,5.92,0.49,4.86,0.70,0.00,10.00,8.84,6.78,6.43
03-27-2014 => LAL @ MIL,-10.00,-10.00,8.97,0.01,5.73,2.90,0.30,0.10,4.29,9.05,4.64,2.86
03-27-2014 => MIL vs LAL,-10.00,10.00,5.73,2.90,8.97,0.01,0.10,0.30,5.71,9.05,5.36,2.86
03-27-2014 => LAC @ DAL,10.00,-10.00,8.67,6.82,8.38,5.26,0.80,0.70,5.00,8.69,9.28,5.54
03-27-2014 => DAL vs LAC,-10.00,10.00,8.38,5.26,8.67,6.82,0.70,0.80,5.00,8.69,0.72,5.54
03-28-2014 => CHA @ ORL,-10.00,-10.00,4.90,6.43,3.04,4.55,0.60,0.10,6.28,7.93,0.01,10.00
03-28-2014 => ORL vs CHA,-10.00,10.00,3.04,4.55,4.90,6.43,0.10,0.60,3.72,7.93,10.00,10.00
03-28-2014 => BOS @ TOR,-10.00,-10.00,2.60,5.39,6.57,5.59,0.30,0.50,2.29,8.05,10.00,9.64
03-28-2014 => TOR vs BOS,-10.00,10.00,6.57,5.59,2.60,5.39,0.50,0.30,7.71,8.05,0.01,9.64
03-28-2014 => IND @ WAS,-10.00,-10.00,0.01,9.26,5.49,4.48,0.60,0.40,5.43,7.70,0.01,0.01
03-28-2014 => WAS vs IND,-10.00,10.00,5.49,4.48,0.01,9.26,0.40,0.60,4.57,7.70,10.00,0.01
03-28-2014 => CLE @ BKN,-10.00,-10.00,4.31,5.25,6.57,5.82,0.50,0.70,2.57,8.14,3.22,7.85
03-28-2014 => BKN vs CLE,-10.00,10.00,6.57,5.82,4.31,5.25,0.70,0.50,7.43,8.14,6.78,7.85
03-28-2014 => MIA @ DET,-10.00,-10.00,3.09,7.14,5.24,4.14,0.50,0.20,6.43,8.22,10.00,1.08
03-28-2014 => DET vs MIA,-10.00,10.00,5.24,4.14,3.09,7.14,0.20,0.50,3.57,8.22,0.01,1.08
03-28-2014 => POR @ CHI,10.00,-10.00,5.34,4.48,0.49,9.59,0.40,0.60,3.72,7.70,10.00,0.01
03-28-2014 => CHI vs POR,-10.00,10.00,0.49,9.59,5.34,4.48,0.60,0.40,6.28,7.70,0.01,0.01
03-28-2014 => LAL @ MIN,10.00,-10.00,7.99,0.01,8.13,2.90,0.30,0.50,1.72,9.36,0.01,10.00
03-28-2014 => MIN vs LAL,-10.00,10.00,8.13,2.90,7.99,0.01,0.50,0.30,8.28,9.36,10.00,10.00
03-28-2014 => UTA @ NOP,-10.00,-10.00,1.91,4.48,7.30,4.61,0.20,0.70,3.00,8.10,5.00,5.36
03-28-2014 => NOP vs UTA,-10.00,10.00,7.30,4.61,1.91,4.48,0.70,0.20,7.00,8.10,5.00,5.36
03-28-2014 => SAC @ OKC,-10.00,-10.00,3.87,5.18,9.80,3.47,0.30,0.60,1.29,8.57,5.00,0.01
03-28-2014 => OKC vs SAC,-10.00,10.00,9.80,3.47,3.87,5.18,0.60,0.30,8.71,8.57,5.00,0.01
03-28-2014 => SAS @ DEN,-10.00,-10.00,10.00,7.30,7.35,3.27,1.00,0.50,7.14,8.94,10.00,10.00
03-28-2014 => DEN vs SAS,-10.00,10.00,7.35,3.27,10.00,7.30,0.50,1.00,2.86,8.94,0.01,10.00
03-28-2014 => NYK @ PHO,-10.00,-10.00,7.25,6.46,6.62,5.39,0.80,0.70,3.14,8.59,0.01,2.15
03-28-2014 => PHO vs NYK,-10.00,10.00,6.62,5.39,7.25,6.46,0.70,0.80,6.86,8.59,10.00,2.15
03-28-2014 => MEM @ GSW,-10.00,-10.00,2.65,10.00,7.06,5.89,0.80,0.70,4.29,7.70,1.79,7.32
03-28-2014 => GSW vs MEM,-10.00,10.00,7.06,5.89,2.65,10.00,0.70,0.80,5.71,7.70,8.21,7.32
03-29-2014 => DET @ PHI,10.00,-10.00,4.31,4.41,1.38,4.04,0.20,0.00,6.71,8.72,0.01,8.57
03-29-2014 => PHI vs DET,-10.00,10.00,1.38,4.04,4.31,4.41,0.00,0.20,3.29,8.72,10.00,8.57
03-29-2014 => LAC @ HOU,-10.00,-10.00,6.89,6.45,9.35,5.45,0.80,0.70,4.57,8.90,10.00,8.39
03-29-2014 => HOU vs LAC,-10.00,10.00,9.35,5.45,6.89,6.45,0.70,0.80,5.43,8.90,0.01,8.39
03-29-2014 => ATL @ WAS,-10.00,-10.00,3.75,5.72,4.53,5.62,0.50,0.40,3.29,8.20,6.43,4.82
03-29-2014 => WAS vs ATL,10.00,10.00,4.53,5.62,3.75,5.72,0.40,0.50,6.71,8.20,3.57,4.82
03-29-2014 => SAC @ DAL,10.00,-10.00,3.84,5.52,8.06,4.66,0.30,0.60,1.57,8.47,10.00,4.29
03-29-2014 => DAL vs SAC,-10.00,10.00,8.06,4.66,3.84,5.52,0.60,0.30,8.43,8.47,0.01,4.29
03-29-2014 => MIA @ MIL,10.00,-10.00,3.88,7.76,5.78,2.73,0.50,0.20,7.57,8.18,10.00,0.01
03-29-2014 => MIL vs MIA,-10.00,10.00,5.78,2.73,3.88,7.76,0.20,0.50,2.43,8.18,0.01,0.01
03-29-2014 => NOP @ SAS,10.00,-10.00,6.68,5.07,10.00,7.86,0.70,1.00,0.86,8.34,3.93,0.01
03-29-2014 => SAS vs NOP,10.00,10.00,10.00,7.86,6.68,5.07,1.00,0.70,9.14,8.34,6.07,0.01
03-30-2014 => UTA @ OKC,-10.00,-10.00,2.06,4.28,8.39,5.21,0.10,0.70,0.72,8.36,1.43,8.39
03-30-2014 => OKC vs UTA,-10.00,10.00,8.39,5.21,2.06,4.28,0.70,0.10,9.28,8.36,8.57,8.39
03-30-2014 => IND @ CLE,-10.00,-10.00,0.01,10.00,4.64,5.38,0.60,0.50,6.57,7.54,0.01,0.01
03-30-2014 => CLE vs IND,-10.00,10.00,4.64,5.38,0.01,10.00,0.50,0.60,3.43,7.54,10.00,0.01
03-30-2014 => MIN @ BKN,-10.00,-10.00,9.42,2.80,6.87,5.72,0.50,0.70,3.86,8.72,0.01,5.71
03-30-2014 => BKN vs MIN,-10.00,10.00,6.87,5.72,9.42,2.80,0.70,0.50,6.14,8.72,10.00,5.71
03-30-2014 => TOR @ ORL,-10.00,-10.00,7.05,5.69,4.42,4.55,0.60,0.20,6.43,8.01,5.00,3.93
03-30-2014 => ORL vs TOR,-10.00,10.00,4.42,4.55,7.05,5.69,0.20,0.60,3.57,8.01,5.00,3.93
03-30-2014 => CHI @ BOS,-10.00,-10.00,1.03,9.65,3.62,4.83,0.60,0.20,6.43,7.46,5.00,10.00
03-30-2014 => BOS vs CHI,-10.00,10.00,3.62,4.83,1.03,9.65,0.20,0.60,3.57,7.46,5.00,10.00
03-30-2014 => NYK @ GSW,-10.00,-10.00,6.43,5.59,6.78,5.90,0.70,0.70,3.14,8.34,10.00,0.01
03-30-2014 => GSW vs NYK,-10.00,10.00,6.78,5.90,6.43,5.59,0.70,0.70,6.86,8.34,0.01,0.01
03-30-2014 => MEM @ POR,-10.00,-10.00,2.32,9.89,5.22,5.83,0.70,0.50,4.43,7.81,1.43,10.00
03-30-2014 => POR vs MEM,-10.00,10.00,5.22,5.83,2.32,9.89,0.50,0.70,5.57,7.81,8.57,10.00
03-30-2014 => PHO @ LAL,-10.00,-10.00,7.05,6.38,8.57,0.01,0.80,0.30,7.71,9.25,0.01,1.43
03-30-2014 => LAL vs PHO,-10.00,10.00,8.57,0.01,7.05,6.38,0.30,0.80,2.29,9.25,10.00,1.43
03-31-2014 => WAS @ CHA,-10.00,-10.00,5.54,5.24,6.20,6.37,0.50,0.60,4.14,8.01,2.86,5.00
03-31-2014 => CHA vs WAS,-10.00,10.00,6.20,6.37,5.54,5.24,0.60,0.50,5.86,8.01,7.14,5.00
03-31-2014 => SAS @ IND,-10.00,-10.00,10.00,8.42,0.01,10.00,1.00,0.50,6.28,7.79,10.00,1.97
03-31-2014 => IND vs SAS,10.00,10.00,0.01,10.00,10.00,8.42,0.50,1.00,3.72,7.79,0.01,1.97
03-31-2014 => PHI @ ATL,-10.00,-10.00,2.61,4.32,3.72,5.64,0.10,0.40,1.57,8.69,7.85,0.54
03-31-2014 => ATL vs PHI,-10.00,10.00,3.72,5.64,2.61,4.32,0.40,0.10,8.43,8.69,2.15,0.54
03-31-2014 => MIL @ DET,-10.00,-10.00,4.71,2.18,4.34,3.55,0.10,0.20,3.14,8.53,6.07,10.00
03-31-2014 => DET vs MIL,-10.00,10.00,4.34,3.55,4.71,2.18,0.20,0.10,6.86,8.53,3.93,10.00
03-31-2014 => TOR @ MIA,10.00,-10.00,7.15,5.00,4.17,8.83,0.60,0.60,3.29,7.91,2.15,0.01
03-31-2014 => MIA vs TOR,-10.00,10.00,4.17,8.83,7.15,5.00,0.60,0.60,6.71,7.91,7.85,0.01
03-31-2014 => BOS @ CHI,10.00,-10.00,3.43,4.40,2.19,9.31,0.10,0.60,2.29,7.62,1.79,1.25
03-31-2014 => CHI vs BOS,10.00,10.00,2.19,9.31,3.43,4.40,0.60,0.10,7.71,7.62,8.21,1.25
03-31-2014 => LAC @ MIN,-10.00,-10.00,7.72,6.17,9.25,1.74,0.80,0.50,5.71,8.82,10.00,6.61
03-31-2014 => MIN vs LAC,10.00,10.00,9.25,1.74,7.72,6.17,0.50,0.80,4.29,8.82,0.01,6.61
03-31-2014 => SAC @ NOP,-10.00,-10.00,4.88,5.08,5.87,4.96,0.30,0.60,3.72,8.12,10.00,5.89
03-31-2014 => NOP vs SAC,-10.00,10.00,5.87,4.96,4.88,5.08,0.60,0.30,6.28,8.12,0.01,5.89
03-31-2014 => MEM @ DEN,10.00,-10.00,2.44,9.91,7.77,1.41,0.60,0.50,6.28,8.30,3.22,0.01
03-31-2014 => DEN vs MEM,-10.00,10.00,7.77,1.41,2.44,9.91,0.50,0.60,3.72,8.30,6.78,0.01
03-31-2014 => NYK @ UTA,10.00,-10.00,5.95,5.64,2.07,3.43,0.70,0.10,6.00,7.99,8.92,0.01
03-31-2014 => UTA vs NYK,10.00,10.00,2.07,3.43,5.95,5.64,0.10,0.70,4.00,7.99,1.08,0.01
04-01-2014 => HOU @ BKN,-10.00,-10.00,9.54,3.57,7.85,5.06,0.60,0.70,4.00,8.69,1.08,1.61
04-01-2014 => BKN vs HOU,-10.00,10.00,7.85,5.06,9.54,3.57,0.70,0.60,6.00,8.69,8.92,1.61
04-01-2014 => GSW @ DAL,-10.00,-10.00,6.28,5.65,8.53,3.69,0.60,0.60,3.57,8.53,10.00,10.00
04-01-2014 => DAL vs GSW,-10.00,10.00,8.53,3.69,6.28,5.65,0.60,0.60,6.43,8.53,0.01,10.00
04-01-2014 => POR @ LAL,-10.00,-10.00,6.54,5.45,8.38,0.01,0.60,0.40,7.43,9.02,7.50,10.00
04-01-2014 => LAL vs POR,-10.00,10.00,8.38,0.01,6.54,5.45,0.40,0.60,2.57,9.02,2.50,10.00
04-02-2014 => DET @ IND,-10.00,-10.00,5.49,2.98,0.01,9.40,0.20,0.40,2.00,7.89,7.50,6.43
04-02-2014 => IND vs DET,-10.00,10.00,0.01,9.40,5.49,2.98,0.40,0.20,8.00,7.89,2.50,6.43
04-02-2014 => BKN @ NYK,10.00,-10.00,8.19,5.28,5.15,6.73,0.70,0.70,4.29,8.05,0.01,3.57
04-02-2014 => NYK vs BKN,-10.00,10.00,5.15,6.73,8.19,5.28,0.70,0.70,5.71,8.05,10.00,3.57
04-02-2014 => CLE @ ORL,-10.00,-10.00,4.74,5.95,4.59,4.98,0.50,0.20,5.57,8.14,10.00,10.00
04-02-2014 => ORL vs CLE,-10.00,10.00,4.59,4.98,4.74,5.95,0.20,0.50,4.43,8.14,0.01,10.00
04-02-2014 => CHA @ PHI,-10.00,-10.00,6.35,6.54,3.16,4.94,0.60,0.10,7.43,8.47,10.00,8.92
04-02-2014 => PHI vs CHA,-10.00,10.00,3.16,4.94,6.35,6.54,0.10,0.60,2.57,8.47,0.01,8.92
04-02-2014 => HOU @ TOR,10.00,-10.00,8.72,4.20,6.80,4.87,0.50,0.50,4.43,8.36,3.57,7.68
04-02-2014 => TOR vs HOU,-10.00,10.00,6.80,4.87,8.72,4.20,0.50,0.50,5.57,8.36,6.43,7.68
04-02-2014 => BOS @ WAS,-10.00,-10.00,3.91,4.57,6.28,5.28,0.10,0.50,2.57,8.28,0.01,8.39
04-02-2014 => WAS vs BOS,-10.00,10.00,6.28,5.28,3.91,4.57,0.50,0.10,7.43,8.28,10.00,8.39
04-02-2014 => CHI @ ATL,-10.00,-10.00,2.82,10.00,4.32,5.80,0.70,0.40,5.57,7.58,10.00,9.82
04-02-2014 => ATL vs CHI,-10.00,10.00,4.32,5.80,2.82,10.00,0.40,0.70,4.43,7.58,0.01,9.82
04-02-2014 => MIL @ MIA,-10.00,-10.00,5.56,2.38,4.17,9.70,0.10,0.70,1.29,8.05,0.72,0.01
04-02-2014 => MIA vs MIL,-10.00,10.00,4.17,9.70,5.56,2.38,0.70,0.10,8.71,8.05,9.28,0.01
04-02-2014 => MEM @ MIN,-10.00,-10.00,3.27,9.51,9.02,1.64,0.60,0.40,6.28,8.20,0.01,1.97
04-02-2014 => MIN vs MEM,-10.00,10.00,9.02,1.64,3.27,9.51,0.40,0.60,3.72,8.20,10.00,1.97
04-02-2014 => GSW @ SAS,10.00,-10.00,6.61,5.39,10.00,8.77,0.60,1.00,2.15,8.26,0.01,5.36
04-02-2014 => SAS vs GSW,-10.00,10.00,10.00,8.77,6.61,5.39,1.00,0.60,7.85,8.26,10.00,5.36
04-02-2014 => NOP @ DEN,-10.00,-10.00,6.58,4.65,6.92,2.49,0.60,0.40,4.00,8.63,0.01,10.00
04-02-2014 => DEN vs NOP,-10.00,10.00,6.92,2.49,6.58,4.65,0.40,0.60,6.00,8.63,10.00,10.00
04-02-2014 => LAC @ PHO,-10.00,-10.00,8.00,6.24,7.44,5.91,0.80,0.80,4.29,8.78,9.64,7.68
04-02-2014 => PHO vs LAC,-10.00,10.00,7.44,5.91,8.00,6.24,0.80,0.80,5.71,8.78,0.36,7.68
04-02-2014 => LAL @ SAC,10.00,-10.00,8.30,0.01,5.83,5.28,0.30,0.40,2.72,9.02,7.14,1.61
04-02-2014 => SAC vs LAL,-10.00,10.00,5.83,5.28,8.30,0.01,0.40,0.30,7.28,9.02,2.86,1.61
04-03-2014 => SAS @ OKC,10.00,-10.00,9.85,7.84,9.04,4.70,1.00,0.80,4.00,8.51,0.01,2.86
04-03-2014 => OKC vs SAS,-10.00,10.00,9.04,4.70,9.85,7.84,0.80,1.00,6.00,8.51,10.00,2.86
04-03-2014 => DAL @ LAC,-10.00,-10.00,10.00,2.65,8.24,5.08,0.60,0.80,3.86,8.74,10.00,8.03
04-03-2014 => LAC vs DAL,10.00,10.00,8.24,5.08,10.00,2.65,0.80,0.60,6.14,8.74,0.01,8.03
04-04-2014 => DEN @ MEM,-10.00,-10.00,7.95,1.63,3.60,8.67,0.40,0.60,2.29,8.28,6.07,1.97
04-04-2014 => MEM vs DEN,-10.00,10.00,3.60,8.67,7.95,1.63,0.60,0.40,7.71,8.28,3.93,1.97
04-04-2014 => ORL @ CHA,-10.00,-10.00,4.78,3.64,7.37,5.45,0.20,0.60,2.29,8.01,3.93,0.01
04-04-2014 => CHA vs ORL,-10.00,10.00,7.37,5.45,4.78,3.64,0.60,0.20,7.71,8.01,6.07,0.01
04-04-2014 => IND @ TOR,-10.00,-10.00,0.01,9.05,6.69,4.74,0.40,0.60,5.43,7.37,0.01,10.00
04-04-2014 => TOR vs IND,-10.00,10.00,6.69,4.74,0.01,9.05,0.60,0.40,4.57,7.37,10.00,10.00
04-04-2014 => CLE @ ATL,-10.00,-10.00,5.50,5.00,4.35,4.51,0.50,0.30,4.57,8.36,0.01,9.46
04-04-2014 => ATL vs CLE,-10.00,10.00,4.35,4.51,5.50,5.00,0.30,0.50,5.43,8.36,10.00,9.46
04-04-2014 => PHI @ BOS,-10.00,-10.00,3.38,3.30,4.14,3.68,0.10,0.10,2.43,8.65,10.00,6.25
04-04-2014 => BOS vs PHI,-10.00,10.00,4.14,3.68,3.38,3.30,0.10,0.10,7.57,8.65,0.01,6.25
04-04-2014 => DET @ BKN,-10.00,-10.00,5.90,2.12,7.77,4.13,0.20,0.70,2.29,8.51,3.22,10.00
04-04-2014 => BKN vs DET,-10.00,10.00,7.77,4.13,5.90,2.12,0.70,0.20,7.71,8.51,6.78,10.00
04-04-2014 => MIN @ MIA,-10.00,-10.00,9.35,1.41,3.78,10.00,0.50,0.70,2.72,8.30,10.00,10.00
04-04-2014 => MIA vs MIN,-10.00,10.00,3.78,10.00,9.35,1.41,0.70,0.50,7.28,8.30,0.01,10.00
04-04-2014 => WAS @ NYK,-10.00,-10.00,6.87,4.81,5.11,6.36,0.50,0.70,3.57,8.08,9.28,0.01
04-04-2014 => NYK vs WAS,-10.00,10.00,5.11,6.36,6.87,4.81,0.70,0.50,6.43,8.08,0.72,0.01
04-04-2014 => MIL @ CHI,-10.00,-10.00,5.00,1.75,2.88,9.09,0.10,0.70,1.72,7.64,4.64,7.50
04-04-2014 => CHI vs MIL,-10.00,10.00,2.88,9.09,5.00,1.75,0.70,0.10,8.28,7.64,5.36,7.50
04-04-2014 => NOP @ UTA,-10.00,-10.00,6.83,2.84,2.41,3.45,0.60,0.10,4.43,8.03,3.57,5.54
04-04-2014 => UTA vs NOP,-10.00,10.00,2.41,3.45,6.83,2.84,0.10,0.60,5.57,8.03,6.43,5.54
04-04-2014 => OKC @ HOU,10.00,-10.00,8.88,4.85,8.92,3.33,0.80,0.50,4.14,8.80,4.29,6.78
04-04-2014 => HOU vs OKC,-10.00,10.00,8.92,3.33,8.88,4.85,0.50,0.80,5.86,8.80,5.71,6.78
04-04-2014 => PHO @ POR,-10.00,-10.00,8.27,3.90,7.12,4.55,0.70,0.60,3.72,8.76,10.00,1.43
04-04-2014 => POR vs PHO,-10.00,10.00,7.12,4.55,8.27,3.90,0.60,0.70,6.28,8.76,0.01,1.43
04-04-2014 => SAC @ GSW,-10.00,-10.00,5.68,4.32,6.08,3.60,0.40,0.50,2.43,8.20,0.01,0.01
04-04-2014 => GSW vs SAC,-10.00,10.00,6.08,3.60,5.68,4.32,0.50,0.40,7.57,8.20,10.00,0.01
04-04-2014 => DAL @ LAL,10.00,-10.00,10.00,2.43,8.34,0.01,0.60,0.30,7.43,9.17,7.50,0.01
04-04-2014 => LAL vs DAL,-10.00,10.00,8.34,0.01,10.00,2.43,0.30,0.60,2.57,9.17,2.50,0.01
04-05-2014 => MIN @ ORL,10.00,-10.00,10.00,0.27,3.75,5.00,0.50,0.20,5.71,8.28,0.01,1.97
04-05-2014 => ORL vs MIN,10.00,10.00,3.75,5.00,10.00,0.27,0.20,0.50,4.29,8.28,10.00,1.97
04-05-2014 => CHI @ WAS,10.00,-10.00,3.29,9.95,6.54,5.31,0.70,0.50,4.29,7.60,10.00,1.43
04-05-2014 => WAS vs CHI,10.00,10.00,6.54,5.31,3.29,9.95,0.50,0.70,5.71,7.60,0.01,1.43
04-05-2014 => CHA @ CLE,10.00,-10.00,6.92,6.41,6.22,4.65,0.60,0.50,4.00,8.10,8.92,2.86
04-05-2014 => CLE vs CHA,10.00,10.00,6.22,4.65,6.92,6.41,0.50,0.60,6.00,8.10,1.08,2.86
04-05-2014 => BOS @ DET,10.00,-10.00,5.02,2.70,5.97,1.77,0.10,0.20,3.14,8.53,6.78,10.00
04-05-2014 => DET vs BOS,10.00,10.00,5.97,1.77,5.02,2.70,0.20,0.10,6.86,8.53,3.22,10.00
04-05-2014 => BKN @ PHI,10.00,-10.00,8.09,3.89,4.70,3.36,0.70,0.20,8.14,8.55,0.01,4.64
04-05-2014 => PHI vs BKN,10.00,10.00,4.70,3.36,8.09,3.89,0.20,0.70,1.86,8.55,10.00,4.64
04-05-2014 => TOR @ MIL,10.00,-10.00,6.36,6.06,4.95,2.08,0.70,0.10,6.86,8.10,3.22,6.43
04-05-2014 => MIL vs TOR,10.00,10.00,4.95,2.08,6.36,6.06,0.10,0.70,3.14,8.10,6.78,6.43
04-06-2014 => NYK @ MIA,-10.00,-10.00,4.31,6.56,4.66,9.26,0.60,0.60,3.14,7.68,1.79,7.50
04-06-2014 => MIA vs NYK,-10.00,10.00,4.66,9.26,4.31,6.56,0.60,0.60,6.86,7.68,8.21,7.50
04-06-2014 => LAL @ LAC,-10.00,-10.00,8.79,0.01,8.57,3.94,0.30,0.70,0.58,9.31,0.01,1.97
04-06-2014 => LAC vs LAL,-10.00,10.00,8.57,3.94,8.79,0.01,0.70,0.30,9.42,9.31,10.00,1.97
04-06-2014 => DAL @ SAC,-10.00,-10.00,10.00,1.77,5.16,3.85,0.60,0.40,7.00,8.28,1.43,0.01
04-06-2014 => SAC vs DAL,-10.00,10.00,5.16,3.85,10.00,1.77,0.40,0.60,3.00,8.28,8.57,0.01
04-06-2014 => ATL @ IND,-10.00,-10.00,5.20,3.77,0.01,8.81,0.30,0.30,2.72,7.70,10.00,8.03
04-06-2014 => IND vs ATL,-10.00,10.00,0.01,8.81,5.20,3.77,0.30,0.30,7.28,7.70,0.01,8.03
04-06-2014 => DEN @ HOU,-10.00,-10.00,8.04,1.15,9.85,3.28,0.40,0.60,2.00,9.19,8.92,10.00
04-06-2014 => HOU vs DEN,-10.00,10.00,9.85,3.28,8.04,1.15,0.60,0.40,8.00,9.19,1.08,10.00
04-06-2014 => MEM @ SAS,-10.00,-10.00,3.63,8.28,8.75,7.91,0.60,0.90,3.00,7.89,0.01,9.64
04-06-2014 => SAS vs MEM,-10.00,10.00,8.75,7.91,3.63,8.28,0.90,0.60,7.00,7.89,10.00,9.64
04-06-2014 => UTA @ GSW,-10.00,-10.00,3.03,3.24,6.33,5.12,0.20,0.60,1.57,8.14,0.01,10.00
04-06-2014 => GSW vs UTA,-10.00,10.00,6.33,5.12,3.03,3.24,0.60,0.20,8.43,8.14,10.00,10.00
04-06-2014 => OKC @ PHO,-10.00,-10.00,8.11,4.39,7.93,4.55,0.70,0.70,5.71,8.69,0.01,10.00
04-06-2014 => PHO vs OKC,-10.00,10.00,7.93,4.55,8.11,4.39,0.70,0.70,4.29,8.69,10.00,10.00
04-06-2014 => NOP @ POR,-10.00,-10.00,6.05,3.40,6.55,4.59,0.50,0.60,2.29,8.47,7.50,1.08
04-06-2014 => POR vs NOP,-10.00,10.00,6.55,4.59,6.05,3.40,0.60,0.50,7.71,8.47,2.50,1.08
04-07-2014 => DET @ ATL,-10.00,-10.00,5.75,1.99,4.42,4.84,0.30,0.30,2.86,8.65,10.00,0.54
04-07-2014 => ATL vs DET,10.00,10.00,4.42,4.84,5.75,1.99,0.30,0.30,7.14,8.65,0.01,0.54
04-07-2014 => SAS @ MIN,10.00,-10.00,7.67,8.61,8.30,1.22,0.90,0.40,7.14,8.53,0.01,3.04
04-07-2014 => MIN vs SAS,-10.00,10.00,8.30,1.22,7.67,8.61,0.40,0.90,2.86,8.53,10.00,3.04
04-07-2014 => BKN @ MIA,-10.00,-10.00,7.57,3.58,4.49,9.67,0.70,0.70,3.00,7.93,10.00,0.01
04-07-2014 => MIA vs BKN,10.00,10.00,4.49,9.67,7.57,3.58,0.70,0.70,7.00,7.93,0.01,0.01
04-07-2014 => DAL @ UTA,10.00,-10.00,9.23,1.75,2.69,2.97,0.60,0.20,7.00,8.28,8.57,0.01
04-07-2014 => UTA vs DAL,10.00,10.00,2.69,2.97,9.23,1.75,0.20,0.60,3.00,8.28,1.43,0.01
04-07-2014 => OKC @ SAC,10.00,-10.00,8.47,3.90,4.39,4.35,0.70,0.40,7.71,8.28,8.92,4.46
04-07-2014 => SAC vs OKC,10.00,10.00,4.39,4.35,8.47,3.90,0.40,0.70,2.29,8.28,1.08,4.46
04-07-2014 => HOU @ LAL,10.00,-10.00,10.00,2.85,7.74,0.29,0.70,0.30,7.57,9.42,9.28,10.00
04-07-2014 => LAL vs HOU,10.00,10.00,7.74,0.29,10.00,2.85,0.30,0.70,2.43,9.42,0.72,10.00
04-08-2014 => DET @ ATL,10.00,-10.00,5.68,2.74,3.82,5.58,0.40,0.30,2.86,8.65,10.00,0.54
04-08-2014 => ATL vs DET,10.00,10.00,3.82,5.58,5.68,2.74,0.30,0.40,7.14,8.65,0.01,0.54
04-08-2014 => SAS @ MIN,10.00,-10.00,6.92,7.56,7.89,3.33,0.80,0.50,7.14,8.53,0.01,3.04
04-08-2014 => MIN vs SAS,10.00,10.00,7.89,3.33,6.92,7.56,0.50,0.80,2.86,8.53,10.00,3.04
04-08-2014 => BKN @ MIA,10.00,-10.00,6.27,4.49,4.07,9.62,0.70,0.60,3.00,7.93,10.00,0.01
04-08-2014 => MIA vs BKN,10.00,10.00,4.07,9.62,6.27,4.49,0.60,0.70,7.00,7.93,0.01,0.01
04-08-2014 => DAL @ UTA,10.00,-10.00,7.79,3.90,2.42,4.61,0.70,0.20,7.00,8.28,8.57,0.01
04-08-2014 => UTA vs DAL,10.00,10.00,2.42,4.61,7.79,3.90,0.20,0.70,3.00,8.28,1.43,0.01
04-08-2014 => OKC @ SAC,10.00,-10.00,8.23,4.12,3.32,4.94,0.70,0.30,7.71,8.28,8.92,4.46
04-08-2014 => SAC vs OKC,10.00,10.00,3.32,4.94,8.23,4.12,0.30,0.70,2.29,8.28,1.08,4.46
04-08-2014 => HOU @ LAL,10.00,-10.00,10.00,1.76,7.95,0.01,0.70,0.30,7.57,9.42,9.28,10.00
04-08-2014 => LAL vs HOU,10.00,10.00,7.95,0.01,10.00,1.76,0.30,0.70,2.43,9.42,0.72,10.00
