ID,BackToBack,Home,Team1OffenseRanking,Team1DefenseRanking,Team2OffenseRanking,Team2DefenseRanking,ConsensusSpread,ConsensusTotal,AgainstTheSpread,AgainstTheTotal
11-27-2013 => ORL vs PHI,10.00,10.00,4.46,3.42,7.38,0.01,6.14,8.63,10.00,1.43
11-27-2013 => MEM @ BOS,-10.00,-10.00,1.08,7.15,3.03,4.27,5.57,7.52,8.57,8.92
11-27-2013 => BOS vs MEM,-10.00,10.00,3.03,4.27,1.08,7.15,4.43,7.52,1.43,8.92
11-27-2013 => LAL @ BKN,10.00,-10.00,5.79,4.44,3.49,2.31,4.29,8.24,10.00,2.68
11-27-2013 => BKN vs LAL,10.00,10.00,3.49,2.31,5.79,4.44,5.71,8.24,0.01,2.68
11-27-2013 => MIA @ CLE,-10.00,-10.00,9.43,6.40,3.44,1.78,7.57,8.16,6.43,0.01
11-27-2013 => CLE vs MIA,-10.00,10.00,3.44,1.78,9.43,6.40,2.43,8.16,3.57,0.01
11-27-2013 => CHI @ DET,-10.00,-10.00,1.18,8.31,5.28,3.87,4.00,7.64,10.00,2.50
11-27-2013 => DET vs CHI,-10.00,10.00,5.28,3.87,1.18,8.31,6.00,7.64,0.01,2.50
11-27-2013 => ATL @ HOU,10.00,-10.00,4.51,6.27,10.00,2.36,2.72,8.47,0.01,2.15
11-27-2013 => HOU vs ATL,-10.00,10.00,10.00,2.36,4.51,6.27,7.28,8.47,10.00,2.15
11-27-2013 => WAS @ MIL,10.00,-10.00,5.23,4.31,0.01,3.56,5.71,7.85,8.92,5.71
11-27-2013 => MIL vs WAS,-10.00,10.00,0.01,3.56,5.23,4.31,4.29,7.85,1.08,5.71
11-27-2013 => DEN @ MIN,-10.00,-10.00,9.43,2.85,8.61,4.53,3.00,8.80,10.00,10.00
11-27-2013 => MIN vs DEN,-10.00,10.00,8.61,4.53,9.43,2.85,7.00,8.80,0.01,10.00
11-27-2013 => SAS @ OKC,-10.00,-10.00,7.28,10.00,8.77,4.93,4.14,8.32,2.86,0.01
11-27-2013 => OKC vs SAS,-10.00,10.00,8.77,4.93,7.28,10.00,5.86,8.32,7.14,0.01
11-27-2013 => GSW @ DAL,10.00,-10.00,4.26,5.56,7.48,3.33,3.72,8.51,5.36,3.57
11-27-2013 => DAL vs GSW,-10.00,10.00,7.48,3.33,4.26,5.56,6.28,8.51,4.64,3.57
